ID;DAY;MONTH;YEAR;WEEKDAY;WEEKNUM;WEEKEND_YN;HOUR;MINUTE;BIOMASS_PROD_PLANNED;HYDROPOWER_PROD_PLANNED;WIND_OFFSHORE_PROD_PLANNED;WIND_ONSHORE_PROD_PLANNED;PHOTOVOLTAICS_PROD_PLANNED;OTHER_RENEWABLE_PROD_PLANNED;NUCLEAR_PROD_PLANNED;BROWN_COAL_PROD_PLANNED;BLACK_COAL_PROD_PLANNED;NAT_GAS_PROD_PLANNED;PUMP_STORAGE_PROD_PLANNED;OTHER_CONVENTIONAL_PROD_PLANNED;EN_PROD_PLANNED
23932008-3983-11eb-9f2c-f48c50351e47;3;8;2020;1;32;"0";18;0;1095;522;162;1371;2088;30;1896;2954;497;1339;77;390;12421
23c0c8fa-3983-11eb-bf51-f48c50351e47;3;8;2020;1;32;"0";18;15;1095;524;166;1345;1823;30;1898;3100;507;1326;54;390;12258
23a32e4e-3983-11eb-b9c2-f48c50351e47;3;8;2020;1;32;"0";18;30;1094;522;171;1282;1552;32;1898;3139;522;1325;128;393;12058
2371e2d5-3983-11eb-b39f-f48c50351e47;3;8;2020;1;32;"0";19;0;1095;493;177;1233;1035;32;1896;3187;556;1344;77;398;11523
23932009-3983-11eb-9476-f48c50351e47;3;8;2020;1;32;"0";19;15;1096;497;183;1170;800;32;1896;3201;574;1381;134;400;11364
23a32e4f-3983-11eb-b3a9-f48c50351e47;3;8;2020;1;32;"0";19;45;1086;525;188;1055;431;33;1896;3201;631;1389;226;404;11065
2371e2d6-3983-11eb-8172-f48c50351e47;3;8;2020;1;32;"0";20;0;1083;520;202;984;265;33;1894;3195;692;1394;467;405;11134
23c0c8fb-3983-11eb-b481-f48c50351e47;3;8;2020;1;32;"0";20;15;1083;521;202;868;148;33;1896;3208;734;1394;447;404;10938
2393200a-3983-11eb-a057-f48c50351e47;3;8;2020;1;32;"0";20;30;1087;519;201;808;66;33;1895;3213;817;1394;392;406;10831
23a32e50-3983-11eb-8288-f48c50351e47;3;8;2020;1;32;"0";20;45;1086;519;199;784;18;33;1895;3215;831;1395;324;408;10707
23c0c8fc-3983-11eb-9da5-f48c50351e47;3;8;2020;1;32;"0";21;0;1087;519;192;749;2;33;1895;3207;801;1398;195;432;10510
2371e2d7-3983-11eb-9034-f48c50351e47;4;8;2020;2;32;"0";5;30;1079;505;131;470;3;30;1861;2516;528;1075;59;459;8716
2393200b-3983-11eb-8c17-f48c50351e47;4;8;2020;2;32;"0";5;45;1082;485;150;486;16;30;1842;2501;527;1074;50;455;8698
23a32e51-3983-11eb-9a59-f48c50351e47;4;8;2020;2;32;"0";6;0;1086;497;149;503;49;30;1825;2507;527;1089;25;455;8742
23c0c8fd-3983-11eb-8576-f48c50351e47;4;8;2020;2;32;"0";6;15;1084;489;140;502;121;30;1808;2507;527;1090;28;454;8780
2371e2d8-3983-11eb-b31d-f48c50351e47;4;8;2020;2;32;"0";6;30;1084;486;135;485;239;30;1802;2506;528;1090;23;458;8866
2393200c-3983-11eb-ae58-f48c50351e47;4;8;2020;2;32;"0";6;45;1086;498;136;475;409;30;1796;2488;528;1084;5;462;8997
23a32e52-3983-11eb-a109-f48c50351e47;4;8;2020;2;32;"0";7;0;1091;507;154;465;616;30;1784;2421;530;1097;6;459;9160
23c0c8fe-3983-11eb-9043-f48c50351e47;4;8;2020;2;32;"0";7;15;1091;501;166;425;851;30;1784;2403;530;1085;9;466;9341
2371e2d9-3983-11eb-8920-f48c50351e47;4;8;2020;2;32;"0";7;30;1091;500;157;376;1110;30;1785;2400;530;1071;87;474;9611
2393200d-3983-11eb-8ff0-f48c50351e47;4;8;2020;2;32;"0";7;45;1092;502;139;331;1386;30;1786;2352;530;1076;158;471;9853
23a32e53-3983-11eb-beef-f48c50351e47;4;8;2020;2;32;"0";8;0;1094;518;139;288;1692;30;1785;2235;534;1096;344;468;10223
23c0c8ff-3983-11eb-83ed-f48c50351e47;4;8;2020;2;32;"0";8;15;1093;496;136;271;2021;30;1786;2187;532;1099;407;466;10524
2371e2da-3983-11eb-96d6-f48c50351e47;4;8;2020;2;32;"0";8;30;1093;483;133;249;2361;30;1785;2141;530;1102;300;464;10671
2393200e-3983-11eb-9684-f48c50351e47;4;8;2020;2;32;"0";8;45;1095;482;126;257;2712;30;1784;2120;530;1100;207;465;10908
23a32e54-3983-11eb-9eb2-f48c50351e47;4;8;2020;2;32;"0";9;0;1087;487;112;260;3077;30;1784;2106;531;1092;358;467;11391
23c0c900-3983-11eb-8d8e-f48c50351e47;4;8;2020;2;32;"0";9;15;1087;482;111;277;3438;30;1784;2063;517;1092;230;469;11580
2371e2db-3983-11eb-afb8-f48c50351e47;4;8;2020;2;32;"0";9;30;1088;483;114;284;3796;30;1783;2019;502;1092;154;477;11822
2393200f-3983-11eb-8ee8-f48c50351e47;4;8;2020;2;32;"0";9;45;1088;480;124;283;4163;30;1787;1910;508;1034;162;476;12045
23a32e55-3983-11eb-8cce-f48c50351e47;4;8;2020;2;32;"0";10;0;1090;478;132;311;4484;30;1803;1748;511;922;58;477;12044
23932010-3983-11eb-b7b9-f48c50351e47;4;8;2020;2;32;"0";10;15;1091;479;140;334;4767;30;1822;1667;513;911;11;475;12240
23a32e56-3983-11eb-8c4d-f48c50351e47;4;8;2020;2;32;"0";10;30;1088;478;145;355;5002;30;1832;1642;525;910;11;478;12496
23932011-3983-11eb-a36f-f48c50351e47;4;8;2020;2;32;"0";10;45;1088;479;157;363;5204;30;1834;1644;528;859;11;482;12679
23a32e57-3983-11eb-9782-f48c50351e47;4;8;2020;2;32;"0";11;0;1087;482;165;400;5357;30;1835;1656;527;879;61;482;12961
23c0c901-3983-11eb-a341-f48c50351e47;4;8;2020;2;32;"0";11;15;1086;482;163;411;5525;30;1836;1657;528;877;105;479;13179
23932012-3983-11eb-8f20-f48c50351e47;4;8;2020;2;32;"0";11;30;1082;483;157;410;5634;30;1836;1661;528;881;103;480;13285
23a32e58-3983-11eb-acce-f48c50351e47;4;8;2020;2;32;"0";11;45;1081;495;158;434;5738;30;1836;1655;532;894;48;481;13382
23c0c902-3983-11eb-aae9-f48c50351e47;4;8;2020;2;32;"0";12;0;1081;494;163;449;5807;30;1835;1635;527;953;56;482;13512
23932013-3983-11eb-92b0-f48c50351e47;4;8;2020;2;32;"0";12;15;1080;483;160;469;5871;30;1835;1631;528;994;11;478;13570
23a32e59-3983-11eb-bcad-f48c50351e47;4;8;2020;2;32;"0";12;30;1080;480;155;482;5901;30;1835;1625;529;1001;10;481;13609
23c0c903-3983-11eb-bcb5-f48c50351e47;4;8;2020;2;32;"0";12;45;1078;480;147;525;5892;30;1832;1620;546;974;11;472;13607
23932014-3983-11eb-a7e2-f48c50351e47;4;8;2020;2;32;"0";13;0;1077;477;142;549;6020;30;1825;1611;554;863;1;476;13625
23c0c904-3983-11eb-8cdc-f48c50351e47;4;8;2020;2;32;"0";13;15;1078;469;145;558;6024;30;1822;1600;553;838;1;480;13598
23a32e5b-3983-11eb-a607-f48c50351e47;4;8;2020;2;32;"0";13;30;1073;468;143;583;5980;30;1815;1608;555;847;0;481;13583
23c0c905-3983-11eb-9ec4-f48c50351e47;4;8;2020;2;32;"0";13;45;1066;465;150;603;5993;30;1796;1604;557;826;1;472;13563
23a32e5c-3983-11eb-93eb-f48c50351e47;4;8;2020;2;32;"0";14;0;1072;472;139;641;5985;30;1772;1597;557;826;1;472;13564
23932017-3983-11eb-b70b-f48c50351e47;4;8;2020;2;32;"0";14;15;1075;468;130;639;5970;30;1747;1595;555;823;1;475;13508
23c0c907-3983-11eb-8139-f48c50351e47;4;8;2020;2;32;"0";14;30;1076;469;130;651;5926;30;1705;1604;555;801;1;474;13422
23a32e5e-3983-11eb-8e45-f48c50351e47;4;8;2020;2;32;"0";14;45;1074;469;130;662;5830;30;1698;1599;555;801;1;471;13320
23c0c908-3983-11eb-a273-f48c50351e47;4;8;2020;2;32;"0";15;0;1078;498;126;665;5721;30;1701;1604;554;822;1;471;13271
23a32e5f-3983-11eb-8846-f48c50351e47;4;8;2020;2;32;"0";15;15;1077;485;122;664;5609;30;1704;1602;555;827;0;468;13143
2393201a-3983-11eb-9049-f48c50351e47;4;8;2020;2;32;"0";15;30;1077;465;118;652;5426;30;1705;1611;556;832;1;471;12944
23c0c90a-3983-11eb-b35e-f48c50351e47;4;8;2020;2;32;"0";15;45;1075;465;113;660;5289;30;1720;1675;555;833;1;467;12883
2393201b-3983-11eb-a28c-f48c50351e47;4;8;2020;2;32;"0";16;0;1075;463;103;662;5110;30;1751;1724;556;844;1;461;12780
23c0c90b-3983-11eb-89e0-f48c50351e47;4;8;2020;2;32;"0";16;15;1077;463;93;663;4828;30;1769;1783;557;885;1;460;12609
23a32e62-3983-11eb-8b40-f48c50351e47;4;8;2020;2;32;"0";16;30;1079;470;87;666;4573;30;1801;1853;557;967;0;466;12549
23a32e63-3983-11eb-8d91-f48c50351e47;4;8;2020;2;32;"0";16;45;1083;472;75;662;4292;30;1807;2039;557;1015;50;466;12548
2393201d-3983-11eb-85e8-f48c50351e47;4;8;2020;2;32;"0";17;0;1082;463;64;610;3973;30;1809;2277;556;1070;24;468;12426
23a32e64-3983-11eb-bd2f-f48c50351e47;4;8;2020;2;32;"0";17;15;1078;463;69;586;3634;30;1817;2473;560;1100;5;465;12280
23c0c90e-3983-11eb-931c-f48c50351e47;4;8;2020;2;32;"0";17;30;1080;479;79;512;3263;30;1828;2608;560;1134;37;463;12073
2393201f-3983-11eb-8f9b-f48c50351e47;4;8;2020;2;32;"0";17;45;1080;532;80;475;2886;30;1829;2712;574;1142;194;463;11997
23c0c90f-3983-11eb-bc5b-f48c50351e47;4;8;2020;2;32;"0";18;0;1081;476;87;434;2509;31;1845;2840;656;1149;54;462;11624
23932020-3983-11eb-bfd2-f48c50351e47;4;8;2020;2;32;"0";18;15;1080;481;92;398;2150;31;1854;2934;716;1157;108;462;11463
23a32e67-3983-11eb-80aa-f48c50351e47;4;8;2020;2;32;"0";18;30;1083;530;81;392;1794;31;1854;2943;758;1157;311;462;11396
23c0c911-3983-11eb-86e8-f48c50351e47;4;8;2020;2;32;"0";18;45;1081;557;62;397;1456;32;1855;2950;854;1166;529;462;11401
23932022-3983-11eb-aa64-f48c50351e47;4;8;2020;2;32;"0";19;0;1081;484;55;379;1148;33;1852;2960;941;1190;265;467;10855
23c0c912-3983-11eb-a857-f48c50351e47;4;8;2020;2;32;"0";19;15;1084;473;57;330;865;33;1855;2982;953;1220;291;471;10614
23932023-3983-11eb-b62f-f48c50351e47;4;8;2020;2;32;"0";19;30;1081;506;54;304;638;33;1856;2984;964;1256;454;470;10600
23a32e6a-3983-11eb-953f-f48c50351e47;4;8;2020;2;32;"0";19;45;1081;540;54;269;434;33;1855;2979;964;1260;592;476;10537
23c0f016-3983-11eb-a67e-f48c50351e47;4;8;2020;2;32;"0";20;0;1078;503;50;251;273;33;1854;2977;945;1280;426;481;10151
23932025-3983-11eb-93c7-f48c50351e47;4;8;2020;2;32;"0";20;15;1076;489;54;230;148;33;1854;2976;945;1293;336;484;9918
23c0f017-3983-11eb-abe6-f48c50351e47;4;8;2020;2;32;"0";20;30;1079;501;56;218;63;32;1855;2986;943;1294;344;483;9854
23932026-3983-11eb-afd1-f48c50351e47;4;8;2020;2;32;"0";20;45;1076;496;55;234;16;33;1857;2986;943;1296;359;477;9828
23a32e6d-3983-11eb-914c-f48c50351e47;4;8;2020;2;32;"0";21;0;1078;520;50;249;2;32;1856;2982;964;1299;279;475;9786
23c0f019-3983-11eb-817b-f48c50351e47;24;8;2020;1;35;"0";6;45;1146;569;138;1340;164;28;1957;2874;410;938;13;358;9935
23932028-3983-11eb-8484-f48c50351e47;24;8;2020;1;35;"0";7;15;1150;578;157;1275;583;28;1963;2915;418;938;36;349;10390
23a32e6f-3983-11eb-91f5-f48c50351e47;24;8;2020;1;35;"0";8;15;1153;585;186;1072;1897;28;1963;2958;416;932;150;357;11697
23c0f01b-3983-11eb-aca7-f48c50351e47;24;8;2020;1;35;"0";9;45;1149;556;250;368;4246;28;1948;2668;418;954;66;353;13004
23a32e70-3983-11eb-92d7-f48c50351e47;24;8;2020;1;35;"0";10;0;1144;556;261;362;4570;28;1935;2460;420;940;121;352;13149
23c0f01c-3983-11eb-a84a-f48c50351e47;24;8;2020;1;35;"0";10;15;1142;553;280;392;4916;28;1913;2289;418;927;11;353;13222
23a32e71-3983-11eb-8e31-f48c50351e47;24;8;2020;1;35;"0";10;30;1137;553;293;447;5214;28;1899;2177;403;930;18;352;13451
23c0f01d-3983-11eb-83e6-f48c50351e47;24;8;2020;1;35;"0";11;15;1130;551;300;739;5966;28;1873;1922;416;923;0;346;14194
2393202d-3983-11eb-9aef-f48c50351e47;24;8;2020;1;35;"0";11;30;1131;551;293;826;6157;28;1874;1922;421;917;0;346;14466
23c0f01e-3983-11eb-af2b-f48c50351e47;24;8;2020;1;35;"0";11;45;1124;553;291;881;6340;28;1873;1899;417;917;0;344;14667
2393202e-3983-11eb-b3b9-f48c50351e47;24;8;2020;1;35;"0";12;0;1124;589;287;926;6480;28;1879;1836;415;893;0;344;14801
23c0f01f-3983-11eb-9c9c-f48c50351e47;24;8;2020;1;35;"0";12;15;1126;571;281;929;6550;28;1884;1821;413;899;0;345;14847
23a32e75-3983-11eb-956e-f48c50351e47;24;8;2020;1;35;"0";12;30;1120;563;282;928;6604;28;1887;1814;411;917;0;343;14897
23932030-3983-11eb-b8fc-f48c50351e47;24;8;2020;1;35;"0";12;45;1120;548;280;951;6662;28;1885;1779;416;912;0;343;14924
23c0f021-3983-11eb-af66-f48c50351e47;24;8;2020;1;35;"0";13;0;1116;574;269;967;6713;28;1883;1704;411;840;0;343;14848
23932031-3983-11eb-bbea-f48c50351e47;24;8;2020;1;35;"0";13;15;1118;562;258;975;6672;28;1879;1638;406;877;0;344;14757
23c0f022-3983-11eb-8b84-f48c50351e47;24;8;2020;1;35;"0";13;30;1114;558;255;996;6631;28;1880;1622;410;888;0;344;14726
23a32e78-3983-11eb-8566-f48c50351e47;24;8;2020;1;35;"0";13;45;1116;557;257;993;6588;28;1879;1613;410;869;0;343;14653
23932033-3983-11eb-8c76-f48c50351e47;24;8;2020;1;35;"0";14;0;1115;556;257;1002;6476;28;1875;1607;411;914;0;340;14581
23c0f024-3983-11eb-a36f-f48c50351e47;24;8;2020;1;35;"0";14;15;1114;578;264;1018;6375;28;1870;1628;411;905;2;335;14528
23932034-3983-11eb-8138-f48c50351e47;24;8;2020;1;35;"0";14;30;1109;574;271;1031;6242;28;1878;1656;412;904;1;333;14439
23b9ce52-3983-11eb-9df1-f48c50351e47;13;1;2020;1;3;"0";8;0;1241;346;1385;6987;2;34;2154;1438;542;562;87;521;15299
234ea0cb-3983-11eb-ba1f-f48c50351e47;13;1;2020;1;3;"0";8;15;1244;346;1390;7029;9;34;2118;1455;546;565;106;515;15357
2395fd8a-3983-11eb-b97f-f48c50351e47;13;1;2020;1;3;"0";8;30;1240;346;1396;7078;28;34;2111;1437;542;571;211;516;15510
23a627f5-3983-11eb-985c-f48c50351e47;13;1;2020;1;3;"0";8;45;1242;353;1394;7245;47;34;2110;1417;543;574;229;515;15703
238b592e-3983-11eb-aa0f-f48c50351e47;13;1;2020;1;3;"0";9;45;1239;349;1284;7736;139;34;2236;1469;546;591;257;516;16396
237f80d6-3983-11eb-a449-f48c50351e47;13;1;2020;1;3;"0";11;30;1238;356;1177;8552;314;34;2239;1604;538;589;508;507;17656
238b592f-3983-11eb-a093-f48c50351e47;13;1;2020;1;3;"0";11;45;1239;354;1182;8657;325;34;2239;1611;537;588;371;508;17645
23a627f7-3983-11eb-9708-f48c50351e47;13;1;2020;1;3;"0";12;0;1239;366;1188;8721;336;34;2237;1543;541;580;322;510;17617
237f80d7-3983-11eb-9767-f48c50351e47;13;1;2020;1;3;"0";12;30;1238;367;1046;8828;333;34;2240;1515;513;581;253;518;17466
238b5930-3983-11eb-a329-f48c50351e47;13;1;2020;1;3;"0";13;15;1238;376;1048;9019;301;34;2238;1294;509;523;77;518;17175
235c5443-3983-11eb-9db0-f48c50351e47;13;1;2020;1;3;"0";13;30;1243;370;1049;9038;277;34;2237;1290;521;527;71;518;17175
2367eb77-3983-11eb-b9ad-f48c50351e47;8;4;2020;3;15;"0";10;30;1132;447;902;673;3728;37;2292;3783;2799;1415;430;416;18054
23a627f8-3983-11eb-b0dc-f48c50351e47;13;1;2020;1;3;"0";13;45;1244;368;1047;9045;254;34;2235;1293;554;525;36;517;17152
2375ebcd-3983-11eb-8e76-f48c50351e47;8;4;2020;3;15;"0";10;45;1133;447;945;693;3975;37;2279;3782;2755;1418;197;424;18085
23b029f4-3983-11eb-b406-f48c50351e47;13;1;2020;1;3;"0";14;0;1245;378;1042;9083;229;34;2223;1299;549;521;28;517;17148
238c0a66-3983-11eb-9586-f48c50351e47;8;4;2020;3;15;"0";11;0;1130;445;984;688;4177;37;2269;3803;2674;1401;94;438;18140
23b9ce55-3983-11eb-b85d-f48c50351e47;13;1;2020;1;3;"0";14;15;1245;384;1029;9097;198;34;2215;1291;561;522;29;509;17114
2367eb78-3983-11eb-afa3-f48c50351e47;8;4;2020;3;15;"0";11;15;1129;437;1020;723;4357;37;2257;3804;2609;1377;91;441;18282
237f80d8-3983-11eb-8e25-f48c50351e47;13;1;2020;1;3;"0";14;30;1247;371;1045;9153;161;34;2213;1290;562;581;22;509;17188
23b029f5-3983-11eb-bbf9-f48c50351e47;13;1;2020;1;3;"0";14;45;1247;376;1047;9198;133;34;2185;1290;561;598;21;509;17199
2375ebce-3983-11eb-a4de-f48c50351e47;8;4;2020;3;15;"0";11;30;1132;437;1027;788;4530;37;2256;3811;2558;1376;91;448;18491
23752298-3983-11eb-a4eb-f48c50351e47;13;1;2020;1;3;"0";15;0;1248;391;1046;9250;109;34;2181;1294;559;599;23;510;17244
23b9cec9-3983-11eb-8cfc-f48c50351e47;8;4;2020;3;15;"0";11;45;1131;440;1012;840;4682;37;2256;3798;2449;1369;97;446;18557
23a627f9-3983-11eb-bba6-f48c50351e47;13;1;2020;1;3;"0";15;15;1243;374;1044;9308;85;34;2183;1290;556;603;22;495;17237
238c0a67-3983-11eb-830e-f48c50351e47;8;4;2020;3;15;"0";12;0;1130;464;1010;887;4808;37;2257;3790;2426;1314;71;444;18638
234ea0d0-3983-11eb-ba3d-f48c50351e47;13;1;2020;1;3;"0";15;30;1246;371;1043;9370;57;34;2191;1299;553;613;21;492;17290
2367eb79-3983-11eb-9216-f48c50351e47;8;4;2020;3;15;"0";12;15;1130;462;1016;936;4886;37;2244;3776;2431;1314;29;449;18710
23a627fa-3983-11eb-9787-f48c50351e47;13;1;2020;1;3;"0";15;45;1249;373;1039;9375;33;34;2191;1304;554;615;21;495;17283
2375ebcf-3983-11eb-b878-f48c50351e47;8;4;2020;3;15;"0";12;30;1131;463;990;1003;4945;37;2228;3776;2400;1296;39;450;18758
235c5446-3983-11eb-9b73-f48c50351e47;13;1;2020;1;3;"0";16;0;1246;388;1041;9381;15;34;2195;1307;554;616;28;494;17299
238c0c6f-3983-11eb-94be-f48c50351e47;8;4;2020;3;15;"0";12;45;1128;456;951;1060;4972;37;2216;3771;2409;1292;32;444;18768
2375229a-3983-11eb-b50b-f48c50351e47;13;1;2020;1;3;"0";16;15;1244;388;1042;9413;5;34;2222;1314;558;624;28;510;17382
2367eb7a-3983-11eb-9d3c-f48c50351e47;8;4;2020;3;15;"0";13;0;1131;474;928;1113;5019;37;2214;3776;2422;1249;134;441;18938
238b8a71-3983-11eb-a38f-f48c50351e47;13;1;2020;1;3;"0";16;30;1244;393;1042;9425;1;34;2219;1316;556;633;32;509;17404
23b9ceca-3983-11eb-a7d2-f48c50351e47;8;4;2020;3;15;"0";13;15;1133;468;923;1171;5037;37;2208;3775;2401;1247;169;435;19004
23a627c1-3983-11eb-9a20-f48c50351e47;6;1;2020;1;2;"0";13;45;1219;351;491;1479;499;28;2352;3910;2484;1429;21;575;14838
2375229b-3983-11eb-8e93-f48c50351e47;25;1;2020;6;4;"1";8;0;1241;455;292;185;10;46;2369;4058;3868;2592;1348;520;16984
2375ebd0-3983-11eb-9b52-f48c50351e47;8;4;2020;3;15;"0";13;30;1130;465;934;1247;4994;37;2208;3776;2337;1266;76;445;18915
238b8a72-3983-11eb-8355-f48c50351e47;25;1;2020;6;4;"1";8;15;1242;458;310;199;28;46;2373;4065;3864;2623;1363;498;17069
238b322d-3983-11eb-a39c-f48c50351e47;6;1;2020;1;2;"0";16;0;1221;366;583;1508;20;28;2351;3906;2825;1443;138;576;14965
238c0c70-3983-11eb-9ebe-f48c50351e47;8;4;2020;3;15;"0";13;45;1130;463;943;1250;4921;37;2204;3766;2295;1279;61;446;18795
23a627fd-3983-11eb-9d47-f48c50351e47;25;1;2020;6;4;"1";8;30;1240;448;331;215;56;46;2371;4067;3865;2647;1279;510;17075
2395d5b4-3983-11eb-b158-f48c50351e47;7;1;2020;2;2;"0";10;30;1219;382;373;1885;411;28;2363;3986;3927;1715;1149;588;18026
2367eb7b-3983-11eb-ab12-f48c50351e47;8;4;2020;3;15;"0";14;0;1133;469;937;1244;4837;37;2208;3769;2286;1256;56;440;18672
235c5449-3983-11eb-a044-f48c50351e47;25;1;2020;6;4;"1";8;45;1239;437;365;228;85;46;2371;4051;3862;2646;1261;506;17097
238c0c71-3983-11eb-a8df-f48c50351e47;8;4;2020;3;15;"0";14;15;1135;512;919;1243;4728;36;2200;3770;2278;1252;155;446;18674
235bf703-3983-11eb-8d7e-f48c50351e47;7;1;2020;2;2;"0";10;45;1219;392;452;1914;453;28;2360;3973;3928;1731;1094;589;18133
2375229d-3983-11eb-a4ec-f48c50351e47;25;1;2020;6;4;"1";9;0;1240;450;405;242;133;46;2372;4055;3869;2639;1244;505;17200
23b9cecb-3983-11eb-ad31-f48c50351e47;8;4;2020;3;15;"0";14;30;1134;519;910;1281;4590;35;2191;3769;2326;1246;210;450;18661
23b9ce59-3983-11eb-91f1-f48c50351e47;25;1;2020;6;4;"1";9;15;1238;451;446;257;181;46;2372;4049;3877;2645;1223;529;17314
238b322e-3983-11eb-8a57-f48c50351e47;7;1;2020;2;2;"0";11;0;1221;385;530;1940;491;28;2365;3982;3930;1762;1283;582;18499
238c0c72-3983-11eb-b19b-f48c50351e47;8;4;2020;3;15;"0";14;45;1137;500;907;1333;4460;35;2189;3766;2388;1227;96;450;18488
2375229e-3983-11eb-8135-f48c50351e47;25;1;2020;6;4;"1";9;30;1239;449;496;280;232;46;2369;4051;3883;2648;1191;521;17405
2367eb7d-3983-11eb-8b9b-f48c50351e47;8;4;2020;3;15;"0";15;0;1136;495;881;1408;4297;35;2192;3767;2472;1253;201;454;18591
237f80dc-3983-11eb-aa87-f48c50351e47;25;1;2020;6;4;"1";9;45;1239;428;549;305;294;46;2366;4044;3882;2644;1061;525;17383
23afe277-3983-11eb-84ec-f48c50351e47;7;1;2020;2;2;"0";11;30;1225;381;662;2064;555;28;2363;3984;3900;1784;1087;563;18596
2367eb7e-3983-11eb-9177-f48c50351e47;8;4;2020;3;15;"0";15;15;1135;505;846;1434;4110;35;2190;3775;2507;1253;213;446;18449
2375229f-3983-11eb-b635-f48c50351e47;25;1;2020;6;4;"1";10;0;1242;436;596;330;345;46;2373;4054;3887;2636;1419;529;17893
2367eb7f-3983-11eb-8d5d-f48c50351e47;8;4;2020;3;15;"0";15;30;1133;521;831;1457;3886;33;2191;3774;2514;1246;256;440;18282
2395fd96-3983-11eb-9801-f48c50351e47;25;1;2020;6;4;"1";10;45;1240;417;694;395;577;46;2367;4068;3893;2653;1167;541;18058
238b322f-3983-11eb-b5fe-f48c50351e47;7;1;2020;2;2;"0";12;15;1219;382;876;2341;587;28;2362;3986;3781;1753;756;537;18608
